MSSV,1932300462,#N/A,,,TCTL,#N/A,"Môn ĐK Trong
 HK hiện tại",,,#REF!,#REF!,Kỳ sau,,,,
,MKTG 420,Branding,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 420,,0,,,,
,MKTG 463,Integrated Marketing Communication,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 463,,0,,,,
,SCLM 415,Business Forecasting,chưa ,chưa ,BUS 359,4,,,,1932300462SCLM 415,,0,,,,
,SCLM 450,Project Management,chưa ,chưa ,,4,,,,1932300462SCLM 450,,0,,,,
,SCLM 454,Negotiations,chưa ,chưa ,,4,,,,1932300462SCLM 454,,0,,,,
,ACTG 421,Taxation,chưa ,chưa ,ACTG 382,4,,,,1932300462ACTG 421,,0,,,,
,ACTG 430,Governmental and Not-For-Profit Accounting,chưa ,chưa ,ACTG 382,4,,,,1932300462ACTG 430,,0,,,,
,ACTG 460,Advanced Cost Accounting,chưa ,chưa ,ACTG 360,4,,,,1932300462ACTG 460,,0,,,,
,ACTG 490,Advanced Financial Accounting,chưa ,chưa ,ACTG 382,4,,,,1932300462ACTG 490,,0,,,,
,ACTG 492,Auditing,chưa ,chưa ,ACGT 382,4,,,,1932300462ACTG 492,chưa ,0,,,,
,BUS 458,Advanced Methods and Strategies in Sustainability,chưa ,chưa ,,4,,,,1932300462BUS 458,chưa ,0,,,,
,FIN 417,Financial Regulations,chưa ,chưa ,BUS 328,4,,,,1932300462FIN 417,chưa ,0,,,,
,FIN 424,Enterprise Risk Management,chưa ,chưa ,BUS 328,4,,,,1932300462FIN 424,chưa ,0,,,,
,FIN 436,Corporate Governance,chưa ,chưa ,BUS 328,4,,,,1932300462FIN 436,chưa ,0,,,,
,MGMT 321,Emerging Markets,chưa ,chưa ,,4,,,,1932300462MGMT 321,chưa ,0,,,,
,MGMT 412,Practicum of Industrial Relations,chưa ,chưa ,,4,,,,1932300462MGMT 412,chưa ,0,,,,
,MGMT 398,"Creativity, Innovation and Design",chưa ,chưa ,,4,,,,1932300462MGMT 398,chưa ,0,,,,
,MKTG 452,Business-to-Business Marketing,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 452,chưa ,0,,,,
,MKTG 465,Franchising,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 465,chưa ,0,,,,
,STA 405,Advanced Business Statistics,chưa ,chưa ,,4,,,,1932300462STA 405,chưa ,0,,,,
,MKTG 403,Retail Management,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 403,chưa ,0,,,,
,FIN-B 439,Banking and Financial Intermediation,chưa ,chưa ,BUS 328,4,,,,1932300462FIN-B 439,chưa ,0,,,,
,MGMT 321,Emerging Markets,chưa ,chưa ,,4,,,,1932300462MGMT 321,chưa ,0,,,,
,MGMT 411,Innovation and Change Management,chưa ,chưa ,,4,,,,1932300462MGMT 411,chưa ,0,,,,
,MIS 302,Introduction to Programming in R,chưa ,chưa ,BUS 214,4,,,,1932300462MIS 302,chưa ,0,,,,
,MIS 354,"Decision Behavior, Analylis and Support",chưa ,chưa ,BUS 214,4,,,,1932300462MIS 354,chưa ,0,,,,
,MIS 392,Topics in Analytics,chưa ,chưa ,BUS 378,4,,,,1932300462MIS 392,chưa ,0,,,,
,MIS 395,Artificial Intelligence for Business Leaders,chưa ,chưa ,"STA 228, BUS 345",4,,,,1932300462MIS 395,chưa ,0,,,,
,MIS 450,Supply Chain Analytics,chưa ,chưa ,BUS 359,4,,,,1932300462MIS 450,chưa ,0,,,,
,MIS 453,Human Resource Analytics,chưa ,chưa ,BUS 314,4,,,,1932300462MIS 453,chưa ,0,,,,
,MIS 454,Marketing Analytics,chưa ,chưa ,BUS 332,4,,,,1932300462MIS 454,chưa ,0,,,,
,MIS 455,Big Data Analytics,chưa ,chưa ,MIS 301,4,,,,1932300462MIS 455,chưa ,0,,,,
,MIS 452,Financial Analytics,chưa ,chưa ,BUS 328,4,,,,1932300462MIS 452,chưa ,0,,,,
